[GIN] 2024/10/14 - 23:37:11 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:12 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:13 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:14 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:16 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:18 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:20 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:21 | 200 |       159.5µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:22 | 200 |       996.6µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:23 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:24 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:25 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:26 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:27 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:28 | 200 |       841.6µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:29 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:30 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:31 | 200 |       494.1µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:37:32 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:37:33 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
